lo_id,hi_id,lo_wins,hi_wins
101683,103544,0,1
101683,103619,1,0
101683,103894,0,1
101683,109351,1,0
101688,103821,0,1
101703,101733,0,1
101703,102184,0,1
101703,102776,0,1
101703,103281,1,0
101711,102061,1,0
101711,102077,1,0
101711,102154,1,0
101711,102169,0,1
101711,102233,0,1
101711,102251,1,0
101711,102306,1,0
101711,102382,1,0
101711,102455,1,0
101711,102567,0,1
101711,102571,1,0
101711,102610,0,1
101711,102642,1,0
101711,102665,1,0
101711,102776,1,0
101711,102809,0,1
101711,102834,0,1
101711,102939,1,0
101711,102966,1,0
101711,102978,1,0
101711,102998,0,1
101711,103084,0,1
101711,103297,0,1
101711,103344,1,0
101711,103487,1,1
101711,103602,0,1
101711,103821,1,0
101717,101735,1,0
101717,101746,0,1
101717,101843,1,1
101717,101885,0,1
101717,102135,0,1
101717,102205,0,1
101717,102223,1,0
101717,102354,1,0
101717,102437,1,0
101717,102443,0,1
101717,102548,1,0
101717,102595,1,0
101717,102652,0,1
101717,102785,1,0
101717,102788,1,0
101717,102921,1,0
101717,102948,1,0
101717,103003,1,0
101717,103018,0,1
101717,103202,1,0
101717,103252,1,0
101717,103420,0,1
101717,103428,0,1
101717,103542,1,0
101717,103566,0,1
101717,103694,0,2
101717,104022,1,0
101723,101727,0,1
101723,101733,1,0
101723,101774,0,1
101723,101820,1,0
101723,101868,0,1
101723,101885,1,0
101723,101902,1,0
101723,101965,0,1
101723,102104,1,0
101723,102135,1,0
101723,102143,1,0
101723,102148,0,1
101723,102162,1,0
101723,102231,1,0
101723,102257,0,1
101723,102259,1,0
101723,102271,1,0
101723,102374,0,1
101723,102434,0,1
101723,102494,1,0
101723,102521,1,0
101723,102524,1,0
101723,102545,1,0
101723,102562,1,0
101723,102563,0,1
101723,102565,0,1
101723,102567,1,0
101723,102607,1,0
101723,102694,0,1
101723,102703,0,2
101723,102720,1,0
101723,102776,0,2
101723,102783,1,1
101723,102796,0,1
101723,102839,1,0
101723,102987,1,1
101723,102999,1,0
101723,103018,1,0
101723,103031,1,0
101723,103063,1,0
101723,103082,1,0
